Time,MPD::
240,MPD::
Time,MPD::
2016-11-04 09:45:00,31.0
2016-11-04 13:45:00,64.0
2016-11-04 17:45:00,46.0
2016-11-04 21:45:00,28.0
2016-11-05 01:45:00,25.0
2016-11-05 05:45:00,43.0
2016-11-05 09:45:00,69.0
2016-11-05 13:45:00,112.0
2016-11-05 17:45:00,99.0
2016-11-05 21:45:00,162.0
2016-11-06 01:45:00,193.0
2016-11-06 05:45:00,276.0
2016-11-06 09:45:00,375.0
2016-11-06 13:45:00,464.0
2016-11-06 17:45:00,414.0
2016-11-06 21:45:00,305.0
2016-11-07 01:45:00,177.0
2016-11-07 05:45:00,167.0
2016-11-07 09:45:00,256.0
2016-11-07 13:45:00,420.0
2016-11-07 17:45:00,617.0
2016-11-07 21:45:00,769.0
2016-11-08 01:45:00,752.0
2016-11-08 05:45:00,453.0
2016-11-08 09:45:00,669.0
2016-11-08 13:45:00,1082.0
2016-11-08 17:45:00,638.0
2016-11-08 21:45:00,404.0
2016-11-09 01:45:00,388.0
2016-11-09 05:45:00,246.0
2016-11-09 09:45:00,186.0
2016-11-09 13:45:00,199.0
2016-11-09 17:45:00,228.0
2016-11-09 21:45:00,131.0
2016-11-10 01:45:00,72.0
2016-11-10 09:45:00,52.0
2016-11-10 13:45:00,47.0
2016-11-10 17:45:00,66.0
2016-11-10 21:45:00,81.0
2016-11-11 01:45:00,150.0
2016-11-11 05:45:00,205.0
2016-11-11 09:45:00,256.0
2016-11-11 13:45:00,306.0
2016-11-11 17:45:00,505.0
2016-11-11 21:45:00,641.0
2016-11-12 01:45:00,455.0
2016-11-12 05:45:00,273.0
2016-11-12 09:45:00,275.0
2016-11-12 13:45:00,536.0
2016-11-12 17:45:00,482.0
2016-11-12 21:45:00,453.0
2016-11-13 01:45:00,426.0
2016-11-13 05:45:00,446.0
2016-11-13 09:45:00,418.0
2016-11-13 13:45:00,462.0
2016-11-13 17:45:00,453.0
2016-11-13 21:45:00,442.0
2016-11-14 01:45:00,345.0
2016-11-14 05:45:00,221.0
2016-11-14 09:45:00,171.0
2016-11-14 13:45:00,193.0
2016-11-14 17:45:00,230.0
2016-11-14 21:45:00,155.0
2016-11-15 01:45:00,132.0
2016-11-15 05:45:00,86.0
2016-11-15 09:45:00,96.0
2016-11-15 13:45:00,99.0
2016-11-15 17:45:00,79.0
2016-11-15 21:45:00,131.0
2016-11-16 01:45:00,61.0
2016-11-16 05:45:00,15.0
2016-11-16 09:45:00,21.0
2016-11-16 13:45:00,10.0
2016-11-16 17:45:00,12.0
2016-11-16 21:45:00,20.0
2016-11-17 01:45:00,19.0
2016-11-17 05:45:00,21.0
2016-11-17 09:45:00,18.0
2016-11-17 13:45:00,29.0
2016-11-17 17:45:00,66.0
2016-11-17 21:45:00,68.0
2016-11-18 01:45:00,89.0
2016-11-18 05:45:00,95.0
2016-11-18 09:45:00,118.0
2016-11-18 13:45:00,175.0
2016-11-18 17:45:00,355.0
2016-11-18 21:45:00,424.0
2016-11-19 01:45:00,355.0
2016-11-19 05:45:00,621.0
2016-11-19 09:45:00,753.0
2016-11-19 13:45:00,405.0
2016-11-19 17:45:00,734.0
2016-11-19 21:45:00,519.0
2016-11-20 01:45:00,503.0
2016-11-20 05:45:00,762.0
2016-11-20 09:45:00,669.0
2016-11-20 13:45:00,959.0
2016-11-20 17:45:00,810.0
2016-11-20 21:45:00,854.0
2016-11-21 01:45:00,756.0
2016-11-21 05:45:00,1198.0
2016-11-21 09:45:00,684.0
2016-11-21 13:45:00,719.0
2016-11-21 17:45:00,768.0
2016-11-21 21:45:00,424.0
2016-11-22 01:45:00,432.0
2016-11-22 05:45:00,350.0
2016-11-22 09:45:00,490.0
2016-11-22 13:45:00,385.0
2016-11-22 17:45:00,288.0
2016-11-22 21:45:00,252.0
2016-11-23 01:45:00,138.0
2016-11-23 05:45:00,176.0
2016-11-23 09:45:00,210.0
2016-11-23 13:45:00,236.0
2016-11-23 17:45:00,247.0
2016-11-23 21:45:00,131.0
2016-11-24 01:45:00,94.0
2016-11-24 05:45:00,185.0
2016-11-24 09:45:00,346.0
2016-11-24 13:45:00,365.0
2016-11-24 17:45:00,421.0
2016-11-24 21:45:00,593.0
2016-11-25 01:45:00,556.0
2016-11-25 05:45:00,762.0
2016-11-25 09:45:00,794.0
2016-11-25 13:45:00,720.0
2016-11-25 17:45:00,900.0
2016-11-25 21:45:00,617.0
2016-11-26 01:45:00,289.0
2016-11-26 05:45:00,327.0
2016-11-26 09:45:00,316.0
2016-11-26 13:45:00,369.0
2016-11-26 17:45:00,499.0
2016-11-26 21:45:00,413.0
2016-11-27 01:45:00,377.0
2016-11-27 05:45:00,419.0
2016-11-27 09:45:00,399.0
2016-11-27 13:45:00,615.0
2016-11-27 17:45:00,883.0
2016-11-27 21:45:00,674.0
2016-11-28 01:45:00,896.0
2016-11-28 05:45:00,1227.0
2016-11-28 09:45:00,975.0
2016-11-28 13:45:00,1088.0
2016-11-28 17:45:00,652.0
2016-11-28 21:45:00,386.0
2016-11-29 01:45:00,233.0
2016-11-29 05:45:00,339.0
2016-11-29 09:45:00,474.0
2016-11-29 13:45:00,865.0
2016-11-29 17:45:00,885.0
2016-11-29 21:45:00,282.0
2016-11-30 01:45:00,230.0
2016-11-30 05:45:00,220.0
2016-11-30 09:45:00,293.0
2016-11-30 13:45:00,351.0
2016-11-30 17:45:00,348.0
2016-11-30 21:45:00,549.0
2016-12-01 01:45:00,451.0
2016-12-01 05:45:00,456.0
2016-12-01 09:45:00,435.0
2016-12-01 13:45:00,322.0
2016-12-01 17:45:00,198.0
2016-12-01 21:45:00,147.0
2016-12-02 01:45:00,197.0
2016-12-02 05:45:00,138.0
2016-12-02 09:45:00,163.0
2016-12-02 13:45:00,232.0
2016-12-02 17:45:00,165.0
2016-12-02 21:45:00,916.0
2016-12-03 01:45:00,339.0
2016-12-03 05:45:00,130.0
2016-12-03 09:45:00,87.0
2016-12-03 13:45:00,67.0
2016-12-03 17:45:00,76.0
2016-12-03 21:45:00,58.0
2016-12-04 01:45:00,33.0
2016-12-04 05:45:00,37.0
2016-12-04 09:45:00,47.0
2016-12-04 13:45:00,40.0
2016-12-04 17:45:00,45.0
2016-12-04 21:45:00,32.0
2016-12-05 01:45:00,22.0
2016-12-05 05:45:00,18.0
2016-12-05 09:45:00,22.0
2016-12-05 13:45:00,30.0
2016-12-05 17:45:00,25.0
2016-12-05 21:45:00,21.0
2016-12-06 01:45:00,28.0
2016-12-06 05:45:00,29.0
2016-12-06 09:45:00,39.0
2016-12-06 13:45:00,70.0
2016-12-06 17:45:00,269.0
2016-12-06 21:45:00,625.0
2016-12-07 01:45:00,1219.0
2016-12-07 05:45:00,1188.0
2016-12-07 09:45:00,952.0
2016-12-07 13:45:00,889.0
2016-12-07 17:45:00,943.0
2016-12-07 21:45:00,1083.0
2016-12-08 01:45:00,383.0
2016-12-08 05:45:00,192.0
2016-12-08 09:45:00,342.0
2016-12-08 13:45:00,824.0
2016-12-08 17:45:00,886.0
2016-12-08 21:45:00,712.0
2016-12-09 01:45:00,362.0
2016-12-09 05:45:00,349.0
2016-12-09 09:45:00,357.0
2016-12-09 13:45:00,281.0
2016-12-09 17:45:00,236.0
2016-12-09 21:45:00,167.0
2016-12-10 01:45:00,99.0
2016-12-10 05:45:00,132.0
2016-12-10 09:45:00,161.0
2016-12-10 13:45:00,310.0
2016-12-10 17:45:00,591.0
2016-12-10 21:45:00,721.0
2016-12-11 01:45:00,776.0
2016-12-11 05:45:00,656.0
2016-12-11 09:45:00,639.0
2016-12-11 13:45:00,472.0
2016-12-11 17:45:00,669.0
2016-12-11 21:45:00,763.0
2016-12-12 01:45:00,385.0
2016-12-12 05:45:00,250.0
2016-12-12 09:45:00,429.0
2016-12-12 13:45:00,442.0
2016-12-12 17:45:00,491.0
